Index,Sample,Report,Series,Longitude,Latitude,Datum,Rock_Class,Rock_Type,Rock_Name,Description,Rcvd_Sample_Wt_kg,SiO2_%_ME_XRF26,TiO2_%_ME_XRF26,Al2O3_%_ME_XRF26,Fe2O3_%_ME_XRF26,MnO_%_ME_XRF26,MgO_%_ME_XRF26,CaO_%_ME_XRF26,Na2O_%_ME_XRF26,K2O_%_ME_XRF26,P2O5_%_ME_XRF26,BaO_%_ME_XRF26,Cr2O3_%_ME_XRF26,SrO_%_ME_XRF26,LOI_%_OA_GRA05x,Total_%_ME_XRF26,SiO2_%_ME_ICP06,TiO2_%_ME_ICP06,Al2O3_%_ME_ICP06,Fe2O3_%_ME_ICP06,MnO_%_ME_ICP06,MgO_%_ME_ICP06,CaO_%_ME_ICP06,Na2O_%_ME_ICP06,K2O_%_ME_ICP06,P2O5_%_ME_ICP06,BaO_%_ME_ICP06,Cr2O3_%_ME_ICP06,SrO_%_ME_ICP06,LOI_%_OA_GRA05,Total_%_TOT_ICP06,S_%_S_IR,C_%_C_IR,Ba_ppm_ME_MS81,Ce_ppm_ME_MS81,Cr_ppm_ME_MS81,Cs_ppm_ME_MS81,Dy_ppm_ME_MS81,Er_ppm_ME_MS81,Eu_ppm_ME_MS81,Ga_ppm_ME_MS81,Gd_ppm_ME_MS81,Ge_ppm_ME_MS81,Hf_ppm_ME_MS81,Ho_ppm_ME_MS81,La_ppm_ME_MS81,Lu_ppm_ME_MS81,Nb_ppm_ME_MS81,Nd_ppm_ME_MS81,Pr_ppm_ME_MS81,Rb_ppm_ME_MS81,Sm_ppm_ME_MS81,Sn_ppm_ME_MS81,Sr_ppm_ME_MS81,Ta_ppm_ME_MS81,Tb_ppm_ME_MS81,Th_ppm_ME_MS81,Tm_ppm_ME_MS81,U_ppm_ME_MS81,V_ppm_ME_MS81,W_ppm_ME_MS81,Y_ppm_ME_MS81,Yb_ppm_ME_MS81,Zr_ppm_ME_MS81,Ag_ppm_ME_4ACD81,As_ppm_ME_4ACD81,Cd_ppm_ME_4ACD81,Co_ppm_ME_4ACD81,Cu_ppm_ME_4ACD81,Li_ppm_ME_4ACD81,Mo_ppm_ME_4ACD81,Ni_ppm_ME_4ACD81,Pb_ppm_ME_4ACD81,Sc_ppm_ME_4ACD81,Tl_ppm_ME_4ACD81,Zn_ppm_ME_4ACD81,As_ppm_ME_MS42,Bi_ppm_ME_MS42,Hg_ppm_ME_MS42,In_ppm_ME_MS42,Re_ppm_ME_MS42,Sb_ppm_ME_MS42,Sc_ppm_ME_MS42,Se_ppm_ME_MS42,Te_ppm_ME_MS42,Tl_ppm_ME_MS42,Nb_ppm_ME_XRF05,Y_ppm_ME_XRF05,Zr_ppm_ME_XRF05,Ni_%_Ni_OG62
192,13ATe323b1,FA14032231,EO_dike,-154.1112,62.0651,WGS84,Igneous,Volcanic,felsic dike,"dike intruding Paleozoic sediment; weathers orange/red, glassy, fine-grained; sediment??; in contact with tan (sandstone?metavolcanic?) ",0.31,,,,,,,,,,,,,,,,73,0.18,12.4,2.25,0.01,0.02,1.4,5.3,2.96,0.01,0.01,-0.01,0.02,1.94,99.5,,,128.5,123,10,1.04,9.79,6.25,0.35,26.6,9.04,,12.3,2.05,60.4,1.01,27.5,50.5,13.8,102.5,10.3,8,193.5,1.7,1.53,29.4,1.02,9.89,-5,1,57.2,6.41,410,,,,,,,,,,,,,,,,,,,,,,,,,,
193,13ATe326c,FA14032231,EO_M_dike,-153.9316,61.9757,WGS84,Igneous,Volcanic,mafic,fine-grained mafic(?) dike intruding 13ATe326b (vertical) ,0.6,,,,,,,,,,,,,,,,45.5,0.99,15.85,7.48,0.14,6.82,9,2.29,1.44,0.3,0.06,0.02,0.08,8.08,98.05,,,511,30.9,140,17.7,3.12,1.79,1.31,16.6,3.53,,2.8,0.62,13.6,0.23,5.8,17.8,4.03,68.7,3.94,1,684,0.3,0.52,1.56,0.24,0.79,153,-1,17.3,1.65,106,,,,,,,,,,,,,,,,,,,,,,,,,,
194,13ATe331b,FA14032231,P_plut_TP,-154.17,61.8248,WGS84,Igneous,Plutonic,granite,"granite boulder, with tourmaline mineralized zone ",0.43,,,,,,,,,,,,,,,,72.1,0.36,13.55,2.71,0.05,0.39,1.64,2.84,4.82,0.15,0.15,-0.01,0.02,0.74,99.52,,,1370,107,10,7.02,6.06,3.31,1.01,22.3,7.19,,7.4,1.13,50.8,0.4,14.3,47.6,12.3,183,9.5,4,148.5,1.5,1.12,23.6,0.42,6.72,21,6,32.4,2.85,255,,,,,,,,,,,,,,,,,,,,,,,,,,
195,13ATe337f,FA14032231,P_plut_TP,-154.3233,61.6537,WGS84,Igneous,Plutonic,granite,"biotite granite, coarse, but more altered; most distal from contact ",0.53,,,,,,,,,,,,,,,,71.6,0.41,13.6,3.55,0.06,0.41,1.68,3.12,4.9,0.1,0.2,-0.01,0.01,0.58,100.22,,,1755,141.5,10,4.92,7.55,4.11,1.19,22.2,8.65,,10,1.52,69.3,0.54,18,59,16.05,141,10.65,3,140.5,0.8,1.3,12.3,0.58,2.63,22,-1,39.2,3.57,381,,,,,,,,,,,,,,,,,,,,,,,,,,
196,13ATe339h,FA14032231,EO,-154.2832,61.6505,WGS84,Igneous,Plutonic,pegmatite,locally abundant pegmatite boulder; locally quartz poor (K-feldspar megacrysts); concentration of pegmatite at margins of crowded porphyry ,0.62,,,,,,,,,,,,,,,,75.5,0.03,12.25,0.57,0.01,0.04,0.19,2.03,7.72,0.01,0.06,-0.01,0.01,0.35,98.77,,,545,8.3,10,2.5,1.32,0.95,0.69,17.9,1.22,,1.4,0.29,3.8,0.14,3.6,4.7,1.07,204,1.3,1,79.4,0.7,0.21,3.54,0.13,2.17,-5,-1,8.3,1.01,23,,,,,,,,,,,,,,,,,,,,,,,,,,
197,13ATe340c2,FA14032231,EO,-153.9155,61.8351,WGS84,Igneous,Plutonic,granite,"transitional, prevalent granite to aplite, includes pyrite (?) mineralization on surface ",0.22,,,,,,,,,,,,,,,,59.5,0.07,16.65,7.33,0.26,0.32,0.65,5.48,5.61,-0.01,0.11,-0.01,0.01,3.23,99.22,,,1000,83.8,10,2.23,14.2,9.23,0.93,26.9,10.2,,5.8,3.08,40.9,1.23,4.9,35.1,9.68,183.5,7.86,5,88.9,1.2,2.11,47.4,1.39,20.2,5,1,87,8.98,132,,,,,,,,,,,,,,,,,,,,,,,,,,
198,13SK168A,FA14032231,Ksed_Dalzell,-154.3027,61.255,WGS84,Sedimentary,,pelite,thinsection from contact of pelite-granite ,0.66,,,,,,,,,,,,,,,,65.3,0.79,15.55,7.16,0.09,2.61,0.64,1.32,2.94,0.29,0.16,0.02,0.01,4.02,100.9,,,1410,60,170,8.15,4.53,3.04,1.23,21,4.75,,4.6,0.97,29.7,0.43,16.6,27.6,7.04,115,5.81,2,142.5,1,0.75,9.01,0.42,3.17,258,1,26.8,2.63,150,,,,,,,,,,,,,,,,,,,,,,,,,,
199,13SK170A,FA14032231,P_plut_TP,-154.2558,61.2561,WGS84,Igneous,Plutonic,granite,mineralized fracture coatings on granite ,0.31,,,,,,,,,,,,,,,,76.9,0.12,12.5,1.84,0.05,0.11,0.3,3.08,4.85,0.09,0.03,-0.01,-0.01,1.06,100.93,,,277,36.3,10,9.97,5.22,3.13,0.32,18.8,4.49,,3.9,1.11,16.7,0.46,10.8,17.6,4.67,231,4.66,9,48.3,1.4,0.88,10.2,0.45,9.88,8,2,31.7,3.09,111,,,,,,,,,,,,,,,,,,,,,,,,,,
200,13SK184A,FA14032231,EO,-154.1363,61.982,WGS84,Igneous,Plutonic,granite,granite with pervasive black coated seams (Fe-Mn-REE??) ,0.61,,,,,,,,,,,,,,,,73.1,0.18,13.95,2.25,0.04,0.12,0.58,3.77,5.7,0.02,0.07,-0.01,0.01,1.4,101.19,,,638,78.6,10,4.63,4.64,2.9,0.57,21.8,4.6,,7.6,1.01,40.6,0.52,15.2,29.8,8.44,197,5.42,8,66.6,1,0.77,21.8,0.5,7.67,6,2,29.2,3.4,255,,,,,,,,,,,,,,,,,,,,,,,,,,
201,13SK185B,FA14032231,PSed_Dillinger,-154.1381,61.982,WGS84,Sedimentary,,limestone,mineralized skarn of Barren Ridge limestone of Dumoulin et al 2018 ,0.4,,,,,,,,,,,,,,,,59,0.74,15.65,6.29,0.02,4.18,3.83,2.79,3.95,0.15,0.09,0.01,0.06,4.69,101.45,,,779,45.5,100,13.35,3.52,2.3,0.75,19.6,3.38,,3.7,0.76,22.7,0.41,8.6,20.2,5.03,157,3.92,2,529,0.6,0.56,7.98,0.33,3.8,230,1,19.6,2.37,124,,,,,,,,,,,,,,,,,,,,,,,,,,
202,13SK188A,FA14032231,EO_dike,-154.1452,61.98,WGS84,Igneous,Volcanic,felsic,mineralized dike ,0.52,,,,,,,,,,,,,,,,78.1,0.1,12.2,1.95,0.03,0.13,0.12,3.04,4.78,-0.01,0.01,-0.01,0.01,1.43,101.9,,,73.9,134,10,2.92,9.82,6.51,0.05,23.9,8.69,,10.4,2.11,66.4,1,28.2,52.3,14.95,246,10.55,9,53.5,1.8,1.53,34.9,0.99,11.35,-5,1,58.7,6.81,267,,,,,,,,,,,,,,,,,,,,,,,,,,
203,13SK189A,FA14032231,EO_dike,-154.1453,61.9793,WGS84,Igneous,Volcanic,felsic,altered flowbanded dike ,0.48,,,,,,,,,,,,,,,,77.1,0.09,12.15,1.74,0.02,0.06,0.15,3.37,4.73,-0.01,-0.01,-0.01,-0.01,1.25,100.66,,,34.5,110,10,3.26,9.48,6,0.04,23.8,8.37,,9.1,2,64.7,0.95,25.8,54.1,15.15,242,10.05,10,31.7,1.7,1.42,33.5,0.96,10.5,-5,1,57.7,6.64,228,,,,,,,,,,,,,,,,,,,,,,,,,,
204,13SK190A,FA14032231,EO_dike,-154.1476,61.9809,WGS84,Igneous,Volcanic,felsic,felsic dike ,0.35,,,,,,,,,,,,,,,,70.3,0.13,14.35,2,0.03,0.07,0.02,3.65,6.01,0.02,0.04,-0.01,-0.01,1.6,98.22,,,350,114.5,10,4.39,8.35,5.55,0.15,25.4,7.28,,9.1,1.82,52.4,0.86,25.2,43.6,12.15,222,8.59,9,21.3,1.6,1.28,29,0.89,10.1,-5,4,52.2,6.12,272,,,,,,,,,,,,,,,,,,,,,,,,,,
205,13SK191D,FA14032231,,-154.1537,62.0193,WGS84,Igneous,Plutonic,"fracture coating, quartz monzonite",mineralized fracture coating ,0.89,,,,,,,,,,,,,,,,72.2,0.22,12.4,4.02,0.06,0.39,1.16,3.49,2.81,0.05,0.04,-0.01,0.01,1.71,98.56,,,390,96.3,10,3.1,6.51,4.38,0.49,23.3,6.31,,8.5,1.36,49,0.69,19.7,38.4,10.6,173.5,7.34,96,70,1.1,1.03,18.45,0.67,4.17,14,6,40.3,4.38,308,,,,,,,,,,,,,,,,,,,,,,,,,,
206,13SK201A,FA14032231,EO,-154.0858,61.9831,WGS84,Igneous,Plutonic,granite ,mineralized granite ,0.44,,,,,,,,,,,,,,,,75,0.24,13.35,2.44,0.03,0.17,0.46,3.99,4.61,0.05,0.06,-0.01,0.01,1.19,101.6,,,520,105,10,3.05,6.39,4.05,0.52,22.7,6.35,,9,1.4,57.3,0.64,23.7,41.4,12,197.5,7.23,7,101.5,1.7,1.01,23.4,0.65,5.93,12,2,39.9,4.44,291,,,,,,,,,,,,,,,,,,,,,,,,,,
207,13SK204B,FA14032231,P_plut_TP,-154.2852,61.5772,WGS84,Igneous,Plutonic,granite ,mineralized granite ,0.39,,,,,,,,,,,,,,,,74.9,0.2,13.05,2.19,0.04,0.09,0.26,3,5.43,0.04,0.15,-0.01,0.01,1.32,100.68,,,1365,143.5,10,5.76,10.15,5.75,0.74,23.9,9.67,,8.2,2.09,58.8,0.75,19.5,54.2,14.35,175.5,10.95,3,65,1.1,1.69,17.7,0.86,5.8,10,3,57.8,5.46,281,,,,,,,,,,,,,,,,,,,,,,,,,,
208,13SK211A,FA14032231,,-154.2873,61.6219,WGS84,Igneous,Plutonic,granite ,"mineralized, altered granite ",0.46,,,,,,,,,,,,,,,,79.1,0.18,10.1,1.83,0.03,0.15,0.24,2.41,4.34,0.04,0.13,-0.01,0.01,1.22,99.78,,,1165,109.5,10,2.59,6.73,3.4,0.74,15.2,7.34,,6.7,1.23,52.5,0.52,14,48.8,12.75,150,9.33,1,59.6,0.8,1.16,12.35,0.49,9.82,9,-1,34,3.2,230,,,,,,,,,,,,,,,,,,,,,,,,,,
209,13SK212C,FA14032231,,-154.2959,61.6625,WGS84,Igneous,Plutonic,granite ,mineralized aplite ,0.39,,,,,,,,,,,,,,,,78.8,0.06,11.95,1.26,0.02,0.04,0.35,2.66,5.75,-0.01,0.02,-0.01,-0.01,0.79,101.7,,,147.5,50.9,10,1.54,2.99,1.48,0.27,16.8,3.72,,2.6,0.6,23,0.21,8.6,23.2,6.11,168,5.07,1,40.9,0.6,0.57,32.9,0.22,14.25,-5,3,14.5,1.63,51,,,,,,,,,,,,,,,,,,,,,,,,,,
210,13SK214B,FA14032231,,-154.214,61.5391,WGS84,Igneous,Plutonic,granite ,mineralized granite ,0.67,,,,,,,,,,,,,,,,67.3,0.47,15.15,5.05,0.01,0.21,0.23,3.88,6.55,0.15,0.19,-0.01,0.01,2.32,101.52,,,1775,61.7,10,4.77,7.05,4.37,0.57,29.7,5.61,,11.3,1.46,30.5,0.64,22.2,27.7,7.05,270,5.95,6,81.1,1.7,1.06,19.55,0.63,8.25,18,2,40.9,4.4,423,,,,,,,,,,,,,,,,,,,,,,,,,,
211,13SK216B,FA14032231,,-154.2477,61.6788,WGS84,Igneous,Plutonic,granite ,mineralized granite ,0.74,,,,,,,,,,,,,,,,87.9,0.05,1.08,6.26,0.02,0.06,2.43,0.09,0.53,-0.01,0.01,-0.01,-0.01,2.56,100.99,,,47.8,28,10,4.03,9.86,7.12,0.15,7.6,6.46,,0.3,2.23,12,1.3,8.7,16.9,3.81,46.2,5.34,5,2.3,0.3,1.38,5.89,1.16,26.8,8,10,78.3,8.55,4,,,,,,,,,,,,,,,,,,,,,,,,,,
212,13SK217B,FA14032231,,-154.2502,61.6786,WGS84,Igneous,Plutonic,granite ,mineralized granite ,0.45,,,,,,,,,,,,,,,,76.9,0.04,10.4,2.65,0.01,0.01,0.4,2.62,4.48,0.01,0.01,-0.01,-0.01,1.05,98.58,,,125.5,18.9,10,5.85,9.31,7.05,0.15,20.1,5.85,,6.4,2.21,7.7,1.08,15,11.3,2.51,191,4.03,6,11.1,1.7,1.27,28.5,1.15,8.05,-5,2,59.4,7.67,111,,,,,,,,,,,,,,,,,,,,,,,,,,
213,68AR208,FA14117576,P_plut_TP,-154.1184,61.2009,NAD83,Igneous,Plutonic,quartz monzonite,biotite quartz monzonite ,0.82,69.3,0.4,14.55,3.53,0.06,0.67,1.78,2.94,5.05,0.18,0.19,0.01,0.02,0.6,99.39,,,,,,,,,,,,,,,,0.02,0.05,1895,57.2,30,6.94,4.67,2.71,1.21,19.2,5.58,,4.4,0.94,28.4,0.37,12.6,28.9,7.33,176.5,6.2,5,228,1,0.81,9.53,0.38,5.38,32,1,27.4,2.33,167,-0.5,,-0.5,7,10,100,-1,9,24,7,,76,11.8,0.1,-0.005,,,0.06,,0.8,0.01,0.39,,,,
214,68AR210,FA14117576,P_plut_TP,-154.05,61.405,NAD83,Igneous,Plutonic,granite,"granite, boulder float ",0.42,72.6,0.24,13.75,2.56,0.04,0.31,1.12,3.12,4.96,0.1,0.07,-0.01,0.01,0.49,99.4,,,,,,,,,,,,,,,,0.01,0.04,662,72,10,7.63,7.5,4.18,0.72,22.6,6.9,,5.6,1.44,34.5,0.54,17.7,34.4,9.36,212,7.76,4,111.5,0.9,1.19,16,0.62,5.17,14,2,43.3,3.7,193,-0.5,,-0.5,3,1,110,-1,4,20,5,,68,9.7,0.05,-0.005,,,0.05,,0.4,-0.01,0.5,17,44,193,
215,68AR212,FA14117576,P_plut_TP,-153.8458,61.2825,NAD83,Igneous,Plutonic,quartz monzonite,biotite quartz monzonite/granite ,0.37,71,0.47,14.5,3.94,0.07,0.77,2.24,3.04,3.63,0.22,0.11,-0.01,0.02,0.35,100.45,,,,,,,,,,,,,,,,0.01,0.03,1065,74.8,20,8.65,5.19,2.63,1.28,20.1,6.33,,4.9,1,37.2,0.35,14.7,37.3,9.66,150,7.55,4,239,1.1,0.93,12.45,0.37,5.44,38,3,28.9,2.37,185,-0.5,,-0.5,5,9,100,-1,9,18,7,,80,12.5,0.11,0.005,,,0.05,,0.9,0.01,0.57,,,,
216,68AR219,FA14117576,E_Mg_plut,-153.6987,61.3985,NAD83,Igneous,Plutonic,quartz diorite,biotite granite/diorite ,0.72,70.8,0.36,14.45,2.97,0.05,1,2.59,3.17,3.56,0.1,0.11,0.01,0.03,0.62,99.87,,,,,,,,,,,,,,,,-0.01,0.02,1030,54,30,8.54,2.66,1.55,0.89,17.1,3.13,,5.3,0.49,28.9,0.23,9.1,22.4,6.42,152,4.13,6,321,0.9,0.46,16.3,0.22,7.19,47,10,15,1.35,172,-0.5,,-0.5,6,111,40,-1,7,6,6,,35,6.3,0.02,0.006,,,0.1,,0.5,0.01,0.22,9,15,182,
217,68AR220,FA14117576,LC_alk,-153.695,61.5336,NAD83,Igneous,Plutonic,diorite,hornblende diorite ,0.83,55.7,0.85,16.6,8.12,0.15,2.59,5.32,3.56,5.34,0.49,0.11,-0.01,0.11,0.48,99.56,,,,,,,,,,,,,,,,0.02,0.01,1120,45.1,20,2.67,3.51,2.05,1.41,20.2,4.17,,5.2,0.74,23.9,0.29,15.2,23.4,5.81,137,4.75,2,975,0.9,0.61,8.07,0.29,2.9,206,1,20.4,1.91,200,-0.5,,-0.5,19,87,30,-1,15,15,14,,94,3.5,0.02,0.012,,,0.23,,0.6,-0.01,0.07,,,,
218,68AR224,FA14117576,EO_M,-153.8121,61.7161,NAD83,Igneous,Plutonic,granodiorite,hornblende-biotite granodiorite ,0.94,60.1,1.04,16.4,6.65,0.13,2.07,4.5,4.25,2.77,0.42,0.15,0.01,0.07,0.84,99.52,,,,,,,,,,,,,,,,0.03,0.09,1445,74.4,20,5.03,5,2.82,2.09,21.3,5.85,,6,1.06,38,0.44,17,38,9.64,85.4,7,2,671,1.1,0.88,6.82,0.42,3.3,85,1,28.4,2.74,275,-0.5,,-0.5,11,2,50,-1,1,9,11,,91,1.5,0.03,0.006,,,-0.05,,0.8,-0.01,0.29,,,,
219,68AR225,FA14117576,LC,-153.6072,61.7994,NAD83,Igneous,Plutonic,granodiorite,biotite-hornblende granodiorite ,0.38,60,0.88,15.5,7.11,0.12,3.61,5.62,2.44,2.51,0.27,0.11,0.02,0.04,0.83,99.19,,,,,,,,,,,,,,,,0.03,0.04,1065,52.1,120,4.32,4.35,2.51,1.52,17.8,5.29,,4.1,0.86,27.1,0.37,10.9,27.4,6.77,88.4,5.49,2,422,0.7,0.75,7.37,0.37,2.81,142,1,25,2.32,151,-0.5,,-0.5,19,22,40,-1,23,10,19,,100,34.1,0.04,0.007,,,0.82,,0.9,0.01,0.41,,,,
220,68AR227,FA14117576,EO,-153.9096,61.8572,NAD83,Igneous,Plutonic,granite,biotite granite ,0.71,75.9,0.09,12.3,1.55,0.03,0.07,0.61,3.78,4.41,0.01,0.02,-0.01,-0.01,0.22,99.01,,,,,,,,,,,,,,,,-0.01,0.01,194,60.2,10,7.05,5.21,3.65,0.25,19.7,4.24,,4.7,1.11,31.3,0.68,14.4,25.6,7.06,236,4.9,3,35.5,1.9,0.76,31.4,0.61,9.29,5,1,36.9,4.37,124,-0.5,,-0.5,2,-1,40,-1,-1,19,2,,30,3.5,0.01,-0.005,,,0.05,,0.4,-0.01,0.32,,,,
221,68AR228,FA14117576,LC,-153.4877,61.9301,NAD83,Igneous,Plutonic,granodiorite,biotite-hornblende granodiorite ,0.7,64.9,0.63,15.1,5.04,0.08,2.24,3.44,2.81,3.57,0.18,0.17,0.01,0.05,0.79,99.08,,,,,,,,,,,,,,,,-0.01,0.09,1745,75.1,80,14,3.28,1.8,1.33,18.4,4.17,,4.1,0.64,42.9,0.27,11.4,30.8,8.63,137,5.37,2,486,0.9,0.57,11,0.24,3.76,76,7,18.1,1.66,153,-0.5,,-0.5,10,10,60,-1,14,13,9,,52,45.9,0.08,0.008,,,0.09,,0.7,0.01,0.56,,,,
222,68AR231,FA14117576,E_Mg_plut,-153.4633,61.9964,NAD83,Igneous,Plutonic,granite,hornblende granite ,0.6,63.8,0.57,15.15,4.52,0.08,2.19,4.33,3.25,2.63,0.13,0.09,0.01,0.03,1.89,98.75,,,,,,,,,,,,,,,,0.01,0.23,811,38.3,50,5.56,3.47,2.03,0.89,16.7,3.75,,4.3,0.7,18.8,0.3,6.8,19.6,4.99,97.1,4.11,3,336,0.5,0.59,7.92,0.28,3.45,97,2,19.9,1.92,156,-0.5,,-0.5,11,16,30,-1,13,11,10,,66,4.6,0.04,-0.005,,,0.16,,0.5,-0.01,0.09,,,,
223,68AR235,FA14117576,P_plut_TP,-154.1194,61.7094,NAD83,Igneous,Plutonic,quartz monzonite,biotite granite ,1.18,72.8,0.23,13.2,2.78,0.04,0.17,1.34,3.08,5.13,0.05,0.15,-0.01,0.01,0.21,99.29,,,,,,,,,,,,,,,,0.01,0.02,1490,141.5,10,5.87,9.45,5.29,0.96,23.3,9.95,,9,1.78,70.8,0.68,18.8,65.3,17.6,185.5,12.55,3,99.6,1.1,1.56,16.15,0.72,4.67,10,1,51.3,4.61,354,-0.5,,-0.5,2,6,70,1,2,19,9,,92,23.7,0.21,0.008,,,0.13,,1.1,0.01,0.4,18,50,356,
224,68AR237,FA14117576,P_plut_TP,-154.2235,61.5495,NAD83,Igneous,Plutonic,quartz monzonite,biotite quartz monzonite ,0.68,71.7,0.33,13.55,3.16,0.06,0.35,1.56,3.11,4.68,0.09,0.15,-0.01,0.01,0.32,99.13,,,,,,,,,,,,,,,,-0.01,0.01,1465,122.5,10,4,6.41,3.17,1.04,23.6,7.71,,8.8,1.16,62.5,0.34,14.7,54.9,14.9,168.5,10.2,2,132,0.7,1.18,11.55,0.41,2.48,17,1,31.8,2.28,373,-0.5,,-0.5,3,9,80,-1,4,17,17,,92,6.1,0.07,-0.005,,,0.05,,0.9,0.01,0.49,,,,
225,68AR239,FA14117576,P_plut_TP,-154.0806,61.3145,NAD83,Igneous,Plutonic,quartz monzonite,biotite quartz monzonite/granite ,0.82,74.2,0.19,13,2.41,0.04,0.27,1.1,2.92,4.75,0.11,0.1,-0.01,0.01,0.32,99.45,,,,,,,,,,,,,,,,-0.01,0.01,927,60.9,10,12.9,4.86,2.35,0.83,17.8,5.59,,3.8,0.85,29.4,0.3,11.3,29.9,7.77,187,6.69,4,122.5,1,0.9,11.7,0.33,4.76,11,3,26.6,2.09,117,-0.5,,-0.5,2,1,80,-1,3,20,4,,66,3.6,0.07,-0.005,,,0.05,,0.4,-0.01,0.41,,,,
226,68AR247,FA14117576,,-153.0416,60.9456,NAD83,Igneous,Plutonic,granodiorite,hornblende-biotite granodiorite ,0.39,62.3,0.7,16,5.52,0.1,2.47,4.62,3.78,3.18,0.21,0.08,-0.01,0.06,0.52,99.64,,,,,,,,,,,,,,,,-0.01,0.01,768,33.8,20,1.52,3.21,1.93,1,18.6,3.68,,5.7,0.68,16,0.31,8.7,17.3,4.21,63.2,3.85,1,556,0.6,0.57,3.51,0.26,1.81,144,3,17.4,1.84,204,-0.5,,-0.5,13,105,10,-1,7,5,10,,64,1.9,0.02,0.011,,,0.14,,0.6,0.01,0.17,,,,
227,68AR256,FA14117576,E_plut,-153.1141,61.129,NAD83,Igneous,Plutonic,quartz monzonite,biotite quartz monzonite ,0.7,76,0.12,12.45,1.83,0.04,0.19,0.79,3.6,4.4,0.02,0.07,-0.01,0.01,0.15,99.69,,,,,,,,,,,,,,,,-0.01,0.02,581,52.6,10,1.93,3.93,2.7,0.23,13.1,3.65,,2.9,0.79,27.7,0.46,8.9,19.4,5.79,144,4.12,1,63.4,1.1,0.63,16.2,0.41,7.8,7,1,24.3,2.91,87,-0.5,,-0.5,-1,1,30,3,1,14,4,,21,0.8,0.02,0.008,,,-0.05,,0.3,-0.01,0.1,9,25,89,
228,68AR263,FA14117576,,-152.7185,61.1027,NAD83,Igneous,Plutonic,diorite,hornblende-biotite diorite ,1.19,55.5,0.84,18.25,7.11,0.13,3.67,6.91,4.3,1.32,0.27,0.06,0.01,0.09,0.49,99.04,,,,,,,,,,,,,,,,-0.01,0.02,552,30,40,1.09,2.57,1.3,1.09,20.2,3.01,,4,0.52,14.3,0.2,5.5,15,3.7,25,3.54,1,833,0.3,0.46,2.06,0.19,0.83,177,1,12.9,1.31,160,-0.5,,-0.5,20,114,10,-1,20,3,13,,83,2.6,0.02,0.01,,,0.08,,0.5,0.01,0.13,,,,
229,69AR111,FA14117576,E_Mg_plut,-153.7032,61.4273,NAD83,Igneous,Plutonic,quartz diorite,biotite-hornblende quartz diorite ,0.79,66.3,0.56,15.25,4.49,0.07,1.78,3.71,3.57,3.04,0.17,0.11,-0.01,0.05,0.32,99.46,,,,,,,,,,,,,,,,-0.01,0.01,941,41.3,40,4.2,2.46,1.47,0.92,16.8,2.96,,3.7,0.49,20.7,0.22,7.4,17.4,4.72,104,3.91,2,394,0.6,0.44,9.98,0.22,5.14,75,1,13.4,1.45,136,-0.5,,-0.5,9,1,40,-1,8,3,8,,44,15.3,0.05,-0.005,,,0.09,,0.5,0.01,0.4,8,15,149,
230,69AR241,FA14117576,ELC,-152.8562,61.345,NAD83,Igneous,Plutonic,gabbro,hornblende gabbro ,1.14,45.1,1.75,17.15,12.42,0.21,5.37,12.25,2.55,0.96,0.47,0.02,-0.01,0.09,0.87,99.37,,,,,,,,,,,,,,,,0.02,0.03,179.5,18.5,10,0.32,4.86,2.67,1.61,20.5,5.38,,1.6,0.98,6.8,0.31,5,15.5,2.97,13.6,4.81,1,786,0.2,0.8,0.44,0.35,0.25,408,-1,23.1,2.13,44,-0.5,,0.5,36,224,-10,-1,5,2,36,,107,0.6,0.02,-0.005,,,0.05,,0.7,0.01,-0.02,,,,
231,69AR362,FA14117576,E_Mg_plut,-153.679,61.3524,NAD83,Igneous,Plutonic,granodiorite,biotite-hornblende granodiorite ,0.17,62.3,0.77,16.1,6.33,0.1,2.95,5.16,3.37,2.51,0.2,0.09,0.01,0.05,0.54,100.55,,,,,,,,,,,,,,,,-0.01,0.03,803,42.7,70,4.27,3.71,2.24,1.05,17.5,4.2,,4.3,0.7,20.5,0.27,6.9,20.5,5.18,80.7,4.74,2,402,0.5,0.66,7.3,0.33,2.48,126,1,19.1,1.74,163,-0.5,,-0.5,15,8,30,-1,19,14,13,,75,0.6,0.04,0.015,,,0.21,,0.7,0.01,0.37,,,,
232,69AR374,FA14117576,LC,-153.6108,61.3946,NAD83,Igneous,Plutonic,hornblende gabbro,biotite-hornblende gabbro ,0.19,53.3,1.14,15.3,9.49,0.18,6.75,8.15,2.41,2.07,0.42,0.11,0.03,0.09,0.26,100.05,,,,,,,,,,,,,,,,0.09,0.02,1005,75.2,220,5.44,4.88,2.55,1.77,17.9,6.29,,3.9,0.94,37.5,0.32,12.8,35,8.93,66.2,7.82,2,778,0.8,0.88,9.97,0.34,3.75,188,3,23.3,2.2,156,-0.5,,-0.5,33,41,30,-1,45,16,25,,118,7,0.03,0.022,,,0.33,,1,0.01,0.41,,,,
